S.No.,reg_no,1000221102,1000221103,1000221109,1005221100,1000221114,1000221170,1005221110,1003221102,1000221120,SGPA
102,22L31A54A3,B,A,A,C,B,A,A,B,C,8.31
103,22L31A54A4,O,O,O,O,B,B,O,A,C,9.54
104,22L31A54A5,O,O,O,B,A,A,O,A,C,9.38
105,22L31A54A6,A,C,B,B,C,A,O,B,C,8.15
106,22L31A54A7,B,A,B,C,B,A,O,C,C,8.08
107,22L31A54A8,O,A,A,A,C,A,O,B,C,8.92
108,22L31A54A9,F,F,F,F,B,C,A,F,C,1.85
109,22L31A54B0,C,B,C,D,B,B,B,D,C,7.08
110,22L31A54B1,O,A,A,A,B,A,B,C,C,8.69
111,22L31A54B2,D,D,F,C,C,B,B,C,C,5.77
112,22L31A54B3,B,A,A,B,B,A,B,C,C,8.23
113,22L31A54B4,O,O,O,A,B,A,B,A,C,9.31
